,index,th,x,y
203,204,-0.19341888217794104,1.4526211892603986,-0.11674002249425633
204,205,-0.19503735292719263,1.4618213597616125,-0.11853216898320386
205,206,-0.1966634112667831,1.4710334875175908,-0.12034335350202877
206,207,-0.1982947028434216,1.4802564805019005,-0.12216878954801642
207,208,-0.19993448163996058,1.4894924524737292,-0.12401972126578749
208,209,-0.20157927181114657,1.4987387046839966,-0.12588340001050405
209,210,-0.20322971030778175,1.5079969584504715,-0.12776901633730048
210,211,-0.20488755580436332,1.5172662206596257,-0.12967235812008018
211,212,-0.20655282225482824,1.5265454417400708,-0.1315890848880126
212,213,-0.20822303112251692,1.535836213250602,-0.13352753917975665
213,214,-0.20990193532988585,1.545137689317345,-0.13548431834779748
214,215,-0.21158668258275595,1.5544494960088857,-0.13745833703225596
215,216,-0.21327803485480554,1.5637724306890672,-0.13945397214943892
216,217,-0.21497500938541275,1.5731053219386586,-0.14146641860461645
217,218,-0.21667799437420285,1.582448633220938,-0.14349847747437433
218,219,-0.2183888736062203,1.5918020911032709,-0.14554953257159525
219,220,-0.2201075368679988,1.6011654770640216,-0.1476192363623393
220,221,-0.22182913813131905,1.6105385695904837,-0.1497072419816611
221,222,-0.2235616680832093,1.6199228644014425,-0.15182079058005016
222,223,-0.22529841135879214,1.6293145462296366,-0.15394365740491106
223,224,-0.227044616907649,1.6387164267169336,-0.15608890006290477
224,225,-0.22879431720277113,1.6481290354251714,-0.1582593398807115
225,226,-0.23055151497968193,1.6575497654591063,-0.16044431188801783
226,227,-0.23231709730478492,1.666979200515202,-0.16264701182670924
227,228,-0.23408696615399158,1.6764184852373338,-0.16487289769432623
228,229,-0.2358674922687857,1.6858660383599495,-0.16711588671026836
229,230,-0.2376505895745624,1.6953231802602686,-0.1693820996458215
230,231,-0.23944250422116684,1.7047886556996696,-0.17166689100043617
231,232,-0.24124088304757668,1.7142624741688026,-0.17397091584805502
232,233,-0.24304698711248904,1.723745545947242,-0.1762984547900781
233,234,-0.24485995880841183,1.7332360519419434,-0.17864270680149594
234,235,-0.24668031143954414,1.7427351367054897,-0.18100888309090785
235,236,-0.24850519335904275,1.7522422246500995,-0.1833952414902583
236,237,-0.2503379843137227,1.7617573197109166,-0.18580236786652649
237,238,-0.25217857446535896,1.7712800712084456,-0.18822945300290306
238,239,-0.25402672934085324,1.7808099414433542,-0.19067499263485757
239,240,-0.2558788495039151,1.790348950788572,-0.19314733481613405
240,241,-0.2577413057366377,1.7998938999616871,-0.19563472496332282
241,242,-0.25960950155027557,1.809447434369559,-0.19814782744331305
242,243,-0.2614844486920504,1.8190054110109333,-0.20067155661105904
243,244,-0.2633640431893923,1.8285743159606003,-0.20323080502896895
244,245,-0.26525353408997815,1.8381493404432065,-0.20580803971827694
245,246,-0.2671500695996869,1.8477296495655868,-0.20840080709349648
246,247,-0.26905316582248584,1.8573179425154476,-0.21101957984299236
247,248,-0.2709627127110118,1.86691182690123,-0.21365614800992783
248,249,-0.27287972183063114,1.8765128922339918,-0.2163168108391079
249,250,-0.2748045815656798,1.8861202241302175,-0.21899878127872047
250,251,-0.2767364339768512,1.895733371924233,-0.22170099314014524
251,252,-0.27867579198350007,1.9053533150420165,-0.22442742518368744
