,angularVelocitySim,commandedAngularVelocity,commandedLinearVelocity,commandedWheelAngle,index,linearVelocitySim,vl,vl_c,vr,vr_c,wheelAngleSim
11,0.01990357312289151,0.24121234591267546,0.14499749622691502,0.6938214883526331,12,0.0213370680809021,0.23313522338867188,0.2131965026308315,0.13794422149658203,0.31406712001249576,1.5225038528442383
12,0.01775548674843528,0.22203290621134328,0.15075937369500422,0.63472831388977,13,0.02458241581916809,0.25621891021728516,0.22768288996490862,0.17130136489868164,0.32053301438056125,1.5214788913726807
13,0.018506245179609818,0.20493140826515718,0.15655139818700398,0.5795447474962971,14,0.0268424928188324,0.2776670455932617,0.2417896113391107,0.18915891647338867,0.3274882002499946,1.519140362739563
14,0.017510219053788616,0.18964509495016887,0.16236513791271967,0.5285777156551548,15,0.027069789171218873,0.27726173400878906,0.25555627635172773,0.19351720809936523,0.3348624069672529,1.5189740657806396
15,0.016049081628972832,0.17594600049302628,0.1681933141546568,0.48191471895475474,16,0.032004916667938234,0.3166818618774414,0.26901731654174316,0.23992538452148438,0.342594734929736,1.5180141925811768
16,0.01471356912092729,0.16363684520126634,0.17402961448433327,0.4394762077858674,17,0.03024398684501648,0.2981758117675781,0.2822025041567048,0.22780656814575195,0.35063245760450706,1.5166434049606323
17,0.013347647406838156,0.15254709453203702,0.17986853865200594,0.4010670966097291,18,0.03150576949119568,0.3058815002441406,0.29513749596513034,0.24204492568969727,0.35892991731489127,1.5152775049209595
18,0.013498197902332651,0.14252934537756698,0.18570527132678177,0.3664210392358714,19,0.0372397243976593,0.35610198974609375,0.30784435746974825,0.29154539108276367,0.36744753826400356,1.5153095722198486
19,0.012440356341275301,0.13345610386631962,0.1915355768415364,0.33523501679548917,20,0.03392898440361023,0.3247833251953125,0.32034204526710847,0.2652859687805176,0.37615096142938753,1.5141804218292236
20,0.012995698235251686,0.12521696334573557,0.19735571195486282,0.3071943473676372,21,0.035351163148880003,0.33847808837890625,0.3326468384910968,0.2763247489929199,0.3850102958902225,1.5141348838806152
21,0.010946317152543501,0.11771616172547307,0.2031623533700691,0.2819895143733785,22,0.03640168905258179,0.34271240234375,0.3447727177666176,0.2903604507446289,0.3939994763063609,1.5140196084976196
22,0.00564265251159668,0.11087048342029313,0.20895253735646924,0.2593266216583045,23,0.039877623319625854,0.36025524139404297,0.35673169411479183,0.3332686424255371,0.4030957144541871,1.512940526008606
23,0.013473770835182882,0.10460746617832882,0.2147236093147306,0.23893320558798029,24,0.03842542171478271,0.36635398864746094,0.36853409218949595,0.3019142150878906,0.4122790325913426,1.5123738050460815
24,0.009226452220569956,0.09886387309571731,0.22047318153210752,0.22056084668698384,25,0.04234347343444824,0.39026737213134766,0.3801887929565455,0.34614086151123047,0.4215318671602091,1.5117597579956055
25,0.006517041813243519,0.09358439270070809,0.22619909770085112,0.20398568792198085,26,0.04118519425392151,0.3737163543701172,0.39170344098230847,0.3425478935241699,0.4308387324753319,1.512474536895752
26,0.005048426714810458,0.08872053371921744,0.23189940303729484,0.18900766199352131,27,0.03930568099021912,0.35386085510253906,0.4030846211992451,0.32971620559692383,0.44018593530000877,1.5119848251342773
27,0.003833554007790305,0.08422968521311411,0.23757231905265083,0.1754489838961649,28,0.04163306951522827,0.37119388580322266,0.4143380095511685,0.3528594970703125,0.4495613324584708,1.5117957592010498
28,0.004807147112759677,0.08007431676416012,0.2432162221986881,0.16315227971527246,29,0.041077440977096556,0.36869049072265625,0.42546850140147213,0.3456997871398926,0.4589541247755755,1.5116783380508423
29,0.007476178082552823,0.07622129705397905,0.24882962575054693,0.15197858964469946,30,0.0429953396320343,0.3917503356933594,0.43648032107152607,0.35599470138549805,0.46835468165773547,1.5113993883132935
30,0.004922303286465732,0.0726413124628717,0.2544111644017014,0.14180539111608637,31,0.04660507440567017,0.41703224182128906,0.4473771153972203,0.3934907913208008,0.47775439151805754,1.5108999013900757
31,0.0076401883905584155,0.06930837016061128,0.2599595811371792,0.13252472603422089,32,0.0432266116142273,0.3941535949707031,0.45816203376128894,0.35761356353759766,0.4871455340102718,1.5105235576629639
32,0.0019431981173428621,0.06619937261475244,0.2654737160256011,0.1240414756709743,33,0.04817723035812378,0.42357921600341797,0.46883779668164466,0.41428565979003906,0.49652117068417745,1.5126971006393433
33,0.004801663485440341,0.06329375252001343,0.2709524966309602,0.11627180110758656,34,0.05286765098571777,0.47120094299316406,0.47940675471119754,0.44823646545410156,0.5058750512195668,1.5105006694793701
34,0.003254283558238636,0.060573158912300945,0.27639492979460245,0.10914175143314221,35,0.05272781848907471,0.46628475189208984,0.48987093912670515,0.45072078704833984,0.5152015328536673,1.511080265045166
35,0.005681037902832031,0.058021186708555564,0.28180009457851396,0.10258603279893463,36,0.05401263236999512,0.4832601547241211,0.5002321056491456,0.45608997344970703,0.5244955109999961,1.5118649005889893
36,0.0014317252419211648,0.05562314314969923,0.2871671361942311,0.09654692656598671,37,0.053376531600952154,0.46756744384765625,0.5104917722400285,0.4607200622558594,0.5337523593753573,1.5121166706085205
37,0.005716930736194957,0.05336584566396803,0.2924952607694769,0.09097334261128863,38,0.05989930629730225,0.5345344543457031,0.5206512518511283,0.5071926116943359,0.5429678782196968,1.510277271270752
38,0.0038355480540882454,0.05123744653106017,0.29778373082725923,0.08581999331273867,39,0.05559109449386597,0.4925727844238281,0.5307116808657951,0.4742288589477539,0.5521382494151474,1.5107463598251343
39,0.004952213980934836,0.04922728045191408,0.3030318613712788,0.08104667415203283,40,0.05704973936080933,0.5079269409179688,0.5406740438532885,0.48424243927001953,0.5612599974968161,1.5120903253555298
40,0.003991083665327592,0.047325731737644525,0.30823901648720486,0.07661763782063245,41,0.058878529071807864,0.5215311050415039,0.550539195158865,0.5024433135986328,0.570329955703698,1.5119304656982422
